Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Mobile Game Controller For PUBG / Call Of Duty / Fortnite,11880,15560,24%,Generic,3.8,17,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/4987412/1.jpg?5458","https://www.jumia.com.ng/generic-mobile-game-controller-for-pubg-call-of-duty-fortnite-214789461.html"
UNIVERSAL STYLUS PEN FOR IOS/ANDROID/WINDOWS,12500,N/A,N/A,Generic,3.8,65,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/6571272/1.jpg?7163","https://www.jumia.com.ng/generic-universal-stylus-pen-for-iosandroidwindows-272175691.html"
Universal Active Stylus Pen For All Phones,9990,15500,36%,N/A,3.9,15,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/3909804/1.jpg?6433","https://www.jumia.com.ng/generic-universal-active-stylus-pen-for-all-phones-408909345.html"
PS4 Controller - Dualshock 4 Wireless PS4 Pad - Green Àrmy,13890,25790,46%,Generic,4.3,141,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/140786/1.jpg?0718","https://www.jumia.com.ng/generic-ps4-controller-dualshock-4-wireless-ps4-pad-green-army-68704102.html"
Sony Computer Entertainment Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),329500,329550,1%,Sony Computer Entertainment,4.3,49,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/969218/1.jpg?3987","https://www.jumia.com.ng/sony-computer-entertainment-sony-playstation-4-pro-1tb-console-black-ps4-pro-81296915.html"
Wired Luminescent Gaming Mouse/Mice Computer,6240,12608,51%,General,4.4,98,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6311431/1.jpg?9880","https://www.jumia.com.ng/general-wired-luminescent-gaming-mousemice-computer-134113666.html"
Mxiii Android Tv Box V8 Bluetooth Wireless Gaming Controller Grip Game Pad For Android /Ios / Pc /Ps3,13490,N/A,N/A,N/A,3.6,23,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/726848/1.jpg?7671","https://www.jumia.com.ng/mxiii-android-tv-box-v8-bluetooth-wireless-gaming-controller-grip-game-pad-for-android-ios-pc-ps3-84862772.html"
Sony PS 3 SuperSlim 500GB With 20 Games Includes PES 2022 FIFA 2021GTA V & MK And 2 Pad Controller,159000,N/A,N/A,Sony,4,3,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/4731514/1.jpg?5379","https://www.jumia.com.ng/sony-ps-3-superslim-500gb-with-20-games-includes-pes-2022-fifa-2021gta-v-mk-and-2-pad-controller-415137403.html"
EA Sports Electronic Arts EA SPORT PLAYSTATION 5 FC25,51500,51550,1%,EA Sports,4.6,11,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/5955204/1.jpg?6186","https://www.jumia.com.ng/ea-sports-electronic-arts-ea-sport-playstation-5-fc25-402559592.html"
Sony PlayStation 5 Slim (PS5 Slim) Console 1TB,875500,887550,1%,Sony,5,3,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/0736014/1.jpg?7389","https://www.jumia.com.ng/sony-playstation-5-slim-ps5-slim-console-1tb-410637026.html"
Original Wireless PS4 Pad With Touchpad Lightbar,13500,65000,79%,Generic,4.3,69,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/364867/1.jpg?7792","https://www.jumia.com.ng/generic-original-wireless-ps4-pad-with-touchpad-lightbar-76846391.html"
Electronic Arts EA Sports Ps4 Fc25 (Fifa25) - PlayStation 4 FC25,54500,54550,1%,Electronic Arts,4.4,25,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/3658083/1.jpg?9657","https://www.jumia.com.ng/electronic-arts-ea-sports-ps4-fc25-fifa25-playstation-4-fc25-380856314.html"
Wireless PS4 Pad With Touchpad Lightbar---RedCamo,15500,65000,76%,Generic,4.7,9,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/0102231/1.jpg?4933","https://www.jumia.com.ng/generic-wireless-ps4-pad-with-touchpad-lightbar-redcamo-132201025.html"
PS5 Controller- DualSense Wireless Pad- PlayStation 5- Black,97200,129740,25%,Generic,4.5,13,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/945359/1.jpg?6403","https://www.jumia.com.ng/generic-ps5-controller-dualsense-wireless-pad-playstation-5-black-95354976.html"
Xbox 360 Controller Grip Pad USB Wired Gampad Joystick,11550,21104,45%,Generic,3.8,16,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/4987412/1.jpg?7164","https://www.jumia.com.ng/generic-xbox-360-controller-grip-pad-usb-wired-gampad-joystick-214789443.html"
Sony Ps4 Console 500 GB,219999,350000,37%,N/A,5,2,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/6567383/1.jpg?4467","https://www.jumia.com.ng/sony-ps4-console-500-gb-383765684.html"
Warner Bros. Interactive Mortal Kombat 11 Ultimate (PS4),32900,32950,1%,Warner Bros. Interactive,4.8,63,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/2915042/1.jpg?7831","https://www.jumia.com.ng/warner-bros.-interactive-mortal-kombat-11-ultimate-ps4-240519229.html"
Sony Computer Entertainment Play Station 5 Slim,930000,1170000,21%,Sony,3,4,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/6111172/1.jpg?7119","https://www.jumia.com.ng/sony-computer-entertainment-play-station-5-slim-271111618.html"
Mutlifunctional Cooling Stand Vertical Charging Dock Station For PS5 Consoles PS5 Controller,32980,45500,28%,Generic,4.7,6,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/7977373/1.jpg?7175","https://www.jumia.com.ng/generic-mutlifunctional-cooling-stand-vertical-charging-dock-station-for-ps5-consoles-ps5-controller-373779784.html"
Sony PS3 Super Slim - 500GB Console,154000,175770,12%,Sony,3.8,96,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/576118/1.jpg?6248","https://www.jumia.com.ng/sony-ps3-super-slim-500gb-console-81167590.html"
Sony Ps2 Slim Console + 2 Controller With 20 Games,64999,90000,28%,Sony,5,1,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/559289/1.jpg?5664","https://www.jumia.com.ng/sony-ps2-slim-console-2-controller-with-20-games-98295505.html"
Wireless Controller Pad For Ps4,15500,65000,76%,Generic,4,9,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/251077/1.jpg?7606","https://www.jumia.com.ng/generic-wireless-controller-pad-for-ps4-77015289.html"
Dobe PS4 Pad Charger PS4 Controller Dual Charging Dock Station TP4,12800,30000,57%,Dobe,4.7,62,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/9503842/1.jpg?5090","https://www.jumia.com.ng/dobe-ps4-pad-charger-ps4-controller-dual-charging-dock-station-tp4-248305941.html"
Jigsimur Natural Health Drink (750ml) Aloe Ferox (2bottles),31000,48000,35%,Jigsimur,4.1,20,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/7541093/1.jpg?3850","https://www.jumia.com.ng/jigsimur-natural-health-drink-750ml-aloe-ferox-2bottles-390145789.html"
PS4 Controller  Dualshock 4 Wireless Game Pad - Blue Cam0,13450,25790,48%,Generic,4.2,124,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/140786/1.jpg?9236","https://www.jumia.com.ng/generic-ps4-controller-dualshock-4-wireless-game-pad-blue-cam0-68704100.html"
Fashion Phone V8 Bluetooth Wireless Mobile Phone Gaming Triggers Controller Game Pad  Android Ipads & Iphone / IOS  / PC / PS3 Gamepad,16400,N/A,N/A,N/A,4.2,65,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/749788/1.jpg?2229","https://www.jumia.com.ng/fashion-phone-v8-bluetooth-wireless-mobile-phone-gaming-triggers-controller-game-pad-android-ipads-iphone-ios-pc-ps3-gamepad-88794704.html"
Sony PlayStation 4 console 500gb+2pads,245000,300000,18%,N/A,4.4,10,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7459304/1.jpg?3945","https://www.jumia.com.ng/sony-playstation-4-console-500gb2pads-403954731.html"
Sony PSP SLIM WITH 32BG MEMORY CARD WITH GAMES INSTALLED,98000,N/A,N/A,Sony,3.6,18,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/2628491/1.jpg?2305","https://www.jumia.com.ng/sony-psp-slim-with-32bg-memory-card-with-games-installed-194826204.html"
Sony Playstation 4 Fat Console Plus Extra Controller And 10 Games Installed Including FC'25,275000,290000,5%,Sony,5,1,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/6903114/1.jpg?7252","https://www.jumia.com.ng/sony-playstation-4-fat-console-plus-extra-controller-and-10-games-installed-including-fc25-411309660.html"
Playstation PS4 Plus extra controller plus 10 games installed include FC25,300000,360000,17%,N/A,4,5,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/9196704/1.jpg?4963","https://www.jumia.com.ng/playstation-ps4-plus-extra-controller-plus-10-games-installed-include-fc25-407691976.html"
Sony PLAYSTATON PS3 DUAL SHOCK 3 WIRELESS PAD CONTROLLER - Blue,8950,14500,38%,Sony,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/8364222/1.jpg?9443","https://www.jumia.com.ng/sony-playstaton-ps3-dual-shock-3-wireless-pad-controller-blue-222463838.html"
MIDIA RGB backlit wired mechanical gaming keyboard,55300,N/A,N/A,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/0373904/1.jpg?5426","https://www.jumia.com.ng/generic-midia-rgb-backlit-wired-mechanical-gaming-keyboard-409373083.html"
Anti-slip Silicone Cover Skin Case PS4 Pad Controller,5499,10000,45%,N/A,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/966584/1.jpg?3977","https://www.jumia.com.ng/generic-anti-slip-silicone-cover-skin-case-ps4-pad-controller-48566980.html"
Play & Charge Kit For Official Xbox One Wireless Controller,10300,14000,26%,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/6410763/1.jpg?8610","https://www.jumia.com.ng/generic-play-charge-kit-for-official-xbox-one-wireless-controller-367014601.html"
Anti-slip Silicone Cover Skin Case For PS4 Pad Controller,5499,10000,45%,N/A,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/966584/1.jpg?5672","https://www.jumia.com.ng/generic-anti-slip-silicone-cover-skin-case-for-ps4-pad-controller-48566967.html"
Sony Ps5 Controller,130000,N/A,N/A,N/A,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/5129404/1.jpg?2586","https://www.jumia.com.ng/sony-ps5-controller-404921514.html"
