Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
NIVEA Pearl & Beauty Anti-Perspirant Body Spray For Women 48h - 200ml (Pack Of 2),7810,9595,19%,NIVEA,4.3,1600,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/5723401/1.jpg?5996","https://www.jumia.com.ng/nivea-pearl-beauty-anti-perspirant-body-spray-for-women-48h-200ml-pack-of-2-104327574.html"
NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml (Pack of 2),13500,21840,38%,NIVEA,4.5,73,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/4808404/1.jpg?4511","https://www.jumia.com.ng/nivea-sun-uv-sunscreen-face-shine-control-cream-spf-50-50ml-pack-of-2-404808434.html"
Green Mask Stick Facial Mask For Black Spots & Pimples,2696,19643,86%,Generic,3.4,1764,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/9076612/1.jpg?7281","https://www.jumia.com.ng/green-mask-stick-facial-mask-for-black-spots-and-pimples-generic-mpg1716952.html"
Rose G Spot Vibrator Intimate Sucker Vagina Sex Toys,8999,27831,68%,Fashion,4.3,796,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/5370272/1.jpg?5633","https://www.jumia.com.ng/fashion-rose-g-spot-vibrator-intimate-sucker-vagina-sex-toys-272073538.html"
Cerave Moisturising Lotion-12 Oz 236 ML,3850,N/A,N/A,Cerave,3.9,766,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/5995682/1.jpg?5252","https://www.jumia.com.ng/cerave-moisturising-lotion-12-oz-236-ml-286599584.html"
Minoxidil 5% Hair & Beard Growth With Applicator- New Design 60ML,8000,N/A,N/A,N/A,3.9,283,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/2340104/1.jpg?4008","https://www.jumia.com.ng/minoxidil-5-hair-beard-growth-with-applicator-new-design-60ml-401043210.html"
MATIHO USB Panlong Hair Clipper,2895,5808,50%,N/A,3.6,502,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/5101253/1.jpg?7470","https://www.jumia.com.ng/matiho-usb-panlong-hair-clipper-352101579.html"
Minoxidil 5% Hair & Beard Growth With Applicator And Dermaroller Tool East Moon,9000,N/A,N/A,Minoxidil,3.8,212,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/1338483/1.jpg?7488","https://www.jumia.com.ng/minoxidil-5-hair-beard-growth-with-applicator-and-dermaroller-tool-east-moon-384833130.html"
Kiki New Gain Rechargeable Hair Clipper Cordless Clipper And Barbing Kits,19990,30000,33%,Generic,4,1296,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/7859952/1.jpg?6350","https://www.jumia.com.ng/generic-kiki-new-gain-rechargeable-hair-clipper-cordless-clipper-and-barbing-kits-259958727.html"
Professional Cordless Hair Clipper For Men,3650,9692,62%,Generic,3.7,208,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/7961553/1.jpg?0023","https://www.jumia.com.ng/generic-professional-cordless-hair-clipper-for-men-355169798.html"
Huameisi USB Wireless Rechargeable Hair Clippers 2000mAh Professional Hair Cutting Tools Battery Display,15205,26552,43%,Huameisi,4,186,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/0069343/1.jpg?4367","https://www.jumia.com.ng/huameisi-usb-wireless-rechargeable-hair-clippers-2000mah-professional-hair-cutting-tools-battery-display-343960005.html"
